"AniList ID","Title","Format","Status","Progress","Volumes","Repeats","Score","Notes","Start Date","Completed Date"
7,"Witch Hunter ROBIN","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
20,"NARUTO","TV","COMPLETED",220,"N/A",0,80,"","0000-00-00","0000-00-00"
174,"Tenjou Tenge","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
195,"Onegai☆Teacher","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
197,"Rizelmine","TV_SHORT","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
221,"Mezzo Forte","OVA","COMPLETED",2,"N/A",0,90,"","0000-00-00","0000-00-00"
226,"Elfen Lied","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
227,"FLCL","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
251,"Kyou kara Maou!","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
257,"Ikkitousen","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
268,"GOLDEN BOY: Sasurai no Obenkyou Yarou","OVA","COMPLETED",6,"N/A",0,100,"","0000-00-00","2022-12-6"
320,"A KITE","OVA","COMPLETED",2,"N/A",0,90,"","0000-00-00","0000-00-00"
322,"Paradise Kiss","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
437,"PERFECT BLUE","MOVIE","COMPLETED",1,"N/A",0,100,"","0000-00-00","2023-8-19"
442,"NARUTO: Dai Katsugeki! Yuki Hime Ninpouchou Dattebayo!!","MOVIE","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
512,"Majo no Takkyuubin","MOVIE","COMPLETED",1,"N/A",0,70,"","0000-00-00","0000-00-00"
634,"Koi Kaze","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
666,"JoJo no Kimyou na Bouken","OVA","COMPLETED",6,"N/A",0,70,"","0000-00-00","0000-00-00"
827,"Uba","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
855,"Strawberry Panic","TV","DROPPED",3,"N/A",0,70,"","0000-00-00","0000-00-00"
877,"NANA","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
936,"NARUTO: Dai Gekitotsu! Maboroshi no Chitei Iseki Dattebayo","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
1183,"Variable Geo","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
1272,"Injuu Gakuen La☆Blue Girl","OVA","COMPLETED",6,"N/A",0,80,"","0000-00-00","0000-00-00"
1387,"Yakin Byoutou","OVA","COMPLETED",10,"N/A",0,90,"","0000-00-00","0000-00-00"
1639,"Boku no Pico","OVA","COMPLETED",1,"N/A",0,60,"","0000-00-00","2025-8-20"
1689,"Byousoku 5 Centimeter","MOVIE","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
1735,"NARUTO: Shippuuden","TV","COMPLETED",500,"N/A",0,100,"","0000-00-00","2021-6-25"
2144,"NARUTO: Dai Koufun! Mikazukijima no Animal Panic Dattebayo!","MOVIE","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
2147,"Call Me Tonight","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
2216,"Shigurui","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
2338,"Youjuu Kyoushitsu","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
2341,"Choujin Densetsu Urotsukidouji","OVA","COMPLETED",3,"N/A",0,50,"","0000-00-00","0000-00-00"
2349,"Bondage Game: Shinsou no Reijoutachi","OVA","COMPLETED",2,"N/A",0,90,"","0000-00-00","0000-00-00"
2396,"MILK Junkie: Shimai-hen","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
2403,"Kodomo no Jikan","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
2472,"NARUTO: Shippuuden Movie","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
2530,"G-taste","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
2981,"Chika Gentou Gekiga: Shoujo Tsubaki","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
3050,"Panchira Teacher","OVA","COMPLETED",2,"N/A",0,90,"","0000-00-00","0000-00-00"
3342,"Mnemosyne: Mnemosyne no Musume-tachi","TV","COMPLETED",6,"N/A",0,100,"","2020-2-29","2020-3-2"
3358,"Kure-nai","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
3411,"Haitoku no Shoujo","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
3918,"Resort BOIN","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
4010,"Alignment You! You! THE ANIMATION","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
4063,"Sekirei","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
4127,"Shion","OVA","COMPLETED",4,"N/A",0,90,"","0000-00-00","0000-00-00"
4437,"NARUTO: Shippuuden - Kizuna","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
4581,"Shikabane Hime: Aka","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
4817,"Genzai Byoto","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
4866,"Pico x CoCo x Chico","OVA","COMPLETED",1,"N/A",0,60,"","0000-00-00","2025-8-20"
5081,"Bakemonogatari","TV","COMPLETED",15,"N/A",0,80,"","0000-00-00","0000-00-00"
5194,"Aneimo","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
5212,"Saimin Gakuen","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
5277,"Sekirei: Pure Engagement","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
5324,"Yakin Byoutou Kranke","OVA","COMPLETED",3,"N/A",0,80,"","0000-00-00","0000-00-00"
5391,"Pico to Chico","OVA","COMPLETED",1,"N/A",0,60,"","0000-00-00","2025-8-20"
5507,"Senjou no Valkyria: Gallian Chronicles","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
5543,"Under World","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
5572,"You Bishoujo Miruku-chan","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
6201,"Princess Lover!","TV","COMPLETED",12,"N/A",0,90,"","0000-00-00","0000-00-00"
6203,"Sasameki Koto","TV","COMPLETED",13,"N/A",0,80,"","0000-00-00","0000-00-00"
6325,"NARUTO: Shippuuden - Hi no Ishi wo Tsugu Mono","MOVIE","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
6500,"Seikon no Qwaser","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
6747,"Dance in the Vampire Bund","TV","DROPPED",4,"N/A",0,60,"","0000-00-00","0000-00-00"
6903,"Prima Donna Mai","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
7088,"Ichiban Ushiro no Daimaou","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
7612,"Haha Sange","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
8078,"Kure-nai OVA","OVA","COMPLETED",2,"N/A",0,80,"","0000-00-00","0000-00-00"
8246,"NARUTO: Shippuuden - The Lost Tower","MOVIE","COMPLETED",1,"N/A",0,70,"","0000-00-00","0000-00-00"
8460,"Mirai Nikki OVA","OVA","COMPLETED",1,"N/A",0,90,"","2020-2-2","2020-2-2"
8676,"Amagami SS","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
8769,"Ore no Imouto ga Konna ni Kawaii Wake ga Nai","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
8795,"Panty & Stocking with Garterbelt","TV","COMPLETED",13,"N/A",0,80,"","0000-00-00","0000-00-00"
8918,"Princess Lover! OVA","OVA","COMPLETED",2,"N/A",0,60,"","0000-00-00","0000-00-00"
9014,"Kuttsukiboshi","OVA","COMPLETED",2,"N/A",0,90,"","0000-00-00","0000-00-00"
9479,"Coppelion","TV","COMPLETED",13,"N/A",0,100,"","0000-00-00","0000-00-00"
9904,"Inyouchuu Etsu: Kairaku Henka Taimaroku","OVA","COMPLETED",2,"N/A",0,80,"","0000-00-00","0000-00-00"
10256,"Shion: Bonus Video","SPECIAL","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
10546,"Rinkan Club","OVA","COMPLETED",4,"N/A",0,70,"","0000-00-00","0000-00-00"
10589,"NARUTO: Blood Prison","MOVIE","COMPLETED",1,"N/A",0,60,"","0000-00-00","0000-00-00"
10611,"R-15","TV","DROPPED",1,"N/A",0,50,"","0000-00-00","0000-00-00"
10620,"Mirai Nikki","TV","COMPLETED",26,"N/A",0,90,"","2020-2-1","2020-2-2"
10719,"Boku wa Tomodachi ga Sukunai","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
10851,"euphoria","OVA","COMPLETED",6,"N/A",0,100,"","0000-00-00","0000-00-00"
11235,"Amagami SS+ plus","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
11313,"Kimi no Iru Machi: Tasogare Kousaten","OVA","COMPLETED",2,"N/A",0,60,"","0000-00-00","0000-00-00"
11321,"Nee SUMMER!","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
11757,"Sword Art Online","TV","COMPLETED",25,"N/A",0,70,"","0000-00-00","0000-00-00"
11769,"Gokujo.","TV_SHORT","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
12549,"Dakara Boku wa, H ga Dekinai.","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
